City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
28,Tambopata,PE,2022-04-25 17:26:23,-12.7333,-69.1833,87.69,66,40,2.3
29,Karratha,AU,2022-04-25 17:29:05,-20.7377,116.8463,77.94,66,42,8.34
30,Hobart,AU,2022-04-25 17:29:05,-42.8794,147.3294,52.05,90,73,5.75
31,Luderitz,NA,2022-04-25 17:29:05,-26.6481,15.1594,62.28,58,0,19.04
32,Westport,US,2022-04-25 17:27:03,41.1415,-73.3579,63.3,42,100,7.0
33,Mudgee,AU,2022-04-25 17:29:06,-32.5943,149.5871,55.78,88,100,5.75
34,Comodoro Rivadavia,AR,2022-04-25 17:29:07,-45.8667,-67.5,57.06,38,40,24.16
35,Arraial Do Cabo,BR,2022-04-25 17:29:07,-22.9661,-42.0278,80.56,69,40,12.66
36,Rikitea,PF,2022-04-25 17:29:08,-23.1203,-134.9692,75.33,78,100,12.03
37,San Rafael,AR,2022-04-25 17:29:08,-34.6177,-68.3301,65.14,35,0,8.21
38,New Norfolk,AU,2022-04-25 17:29:09,-42.7826,147.0587,51.71,85,73,2.39
39,Lebu,CL,2022-04-25 17:29:10,-37.6167,-73.65,56.46,68,100,20.33
40,Krasnoselkup,RU,2022-04-25 17:26:27,65.7,82.4667,-0.31,95,27,4.92
41,Chokurdakh,RU,2022-04-25 17:29:10,70.6333,147.9167,6.62,91,100,6.55
42,Aripuana,BR,2022-04-25 17:29:11,-9.1667,-60.6333,91.2,47,9,4.34
43,Hilo,US,2022-04-25 17:25:27,19.7297,-155.09,72.28,92,75,4.61
44,Hermanus,ZA,2022-04-25 17:16:55,-34.4187,19.2345,59.81,71,0,6.13
45,Yellowknife,CA,2022-04-25 17:25:13,62.456,-114.3525,34.32,60,75,12.66
46,Sitka,US,2022-04-25 17:27:52,57.0531,-135.33,44.49,76,20,0.0
47,Oyama,JP,2022-04-25 17:30:12,36.3,139.8,69.58,75,100,2.75
48,Gombong,ID,2022-04-25 17:30:12,-7.6072,109.5142,77.95,90,99,2.82
49,Port Hardy,CA,2022-04-25 17:30:13,50.6996,-127.4199,44.78,87,75,6.91
50,Khasan,RU,2022-04-25 17:30:13,42.4308,130.6434,43.83,97,100,5.66
51,Molepolole,BW,2022-04-25 17:30:14,-24.4066,25.4951,66.34,53,5,8.55
52,Isangel,VU,2022-04-25 17:30:14,-19.55,169.2667,76.66,69,99,15.19
53,Geraldton,AU,2022-04-25 17:30:15,-28.7667,114.6,70.21,73,100,18.41
54,Dikson,RU,2022-04-25 17:30:15,73.5069,80.5464,1.44,100,96,4.63
55,Luwuk,ID,2022-04-25 17:30:16,-0.9516,122.7875,77.85,86,96,2.95
56,Qaanaaq,GL,2022-04-25 17:21:02,77.484,-69.3632,10.94,66,91,5.06
57,Houston,US,2022-04-25 17:28:08,29.7633,-95.3633,88.18,66,75,16.11
58,Ushuaia,AR,2022-04-25 17:30:17,-54.8,-68.3,42.42,67,100,3.36
59,Puerto Ayora,EC,2022-04-25 17:30:17,-0.7393,-90.3518,76.96,78,78,10.0
60,Port Alfred,ZA,2022-04-25 17:30:18,-33.5906,26.891,58.17,84,46,1.01
61,Ponta Do Sol,PT,2022-04-25 17:21:10,32.6667,-17.1,69.12,79,57,10.29
62,East London,ZA,2022-04-25 17:30:18,-33.0153,27.9116,58.14,88,0,9.22
63,Ilulissat,GL,2022-04-25 17:30:19,69.2167,-51.1,28.42,86,75,3.44
64,Ponta Delgada,PT,2022-04-25 17:30:19,37.7333,-25.6667,61.52,77,40,18.41
65,Kavieng,PG,2022-04-25 17:30:20,-2.5744,150.7967,81.64,73,20,9.04
66,Sao Felix Do Xingu,BR,2022-04-25 17:30:20,-6.6447,-51.995,88.3,56,19,5.77
67,Bethel,US,2022-04-25 17:30:21,41.3712,-73.414,63.64,34,100,3.44
68,Bemidji,US,2022-04-25 17:30:21,47.4736,-94.8803,27.05,85,100,16.11
69,Grindavik,IS,2022-04-25 17:30:22,63.8424,-22.4338,45.07,81,75,10.36
70,Atuona,PF,2022-04-25 17:30:22,-9.8,-139.0333,78.24,77,32,17.13
71,Mokhotlong,LS,2022-04-25 17:30:22,-29.2894,29.0675,43.56,57,0,3.33
72,Galveston,US,2022-04-25 17:30:23,29.3669,-94.9669,87.19,73,75,12.66
73,Praia Da Vitoria,PT,2022-04-25 17:30:25,38.7333,-27.0667,64.65,68,20,13.69
74,Orlik,RU,2022-04-25 17:30:25,52.5178,99.825,10.67,82,21,3.62
75,Hithadhoo,MV,2022-04-25 17:30:25,-0.6,73.0833,85.01,73,41,7.58
76,Ibra,OM,2022-04-25 17:30:26,22.6906,58.5334,83.19,29,3,9.84
77,Talisayan,PH,2022-04-25 17:30:26,6.9872,121.9272,80.1,86,94,1.83
78,Vila Franca Do Campo,PT,2022-04-25 17:30:27,37.7167,-25.4333,61.21,68,4,11.86
79,Northam,GB,2022-04-25 17:30:27,51.0333,-4.2167,51.48,74,54,7.83
80,Wairoa,NZ,2022-04-25 17:30:28,-39.0333,177.3667,46.54,99,5,1.99
81,Chuy,UY,2022-04-25 17:30:28,-33.6971,-53.4616,66.09,97,100,4.23
82,Cape Town,ZA,2022-04-25 17:27:58,-33.9258,18.4232,61.21,70,0,14.97
83,Takoradi,GH,2022-04-25 17:30:29,4.8845,-1.7554,82.08,80,54,6.64
84,Okato,NZ,2022-04-25 17:30:30,-39.2,173.8833,54.91,84,17,2.95
85,Lompoc,US,2022-04-25 17:30:30,34.6391,-120.4579,77.56,65,0,4.61
86,Digoin,FR,2022-04-25 17:30:30,46.4812,3.9795,59.09,73,100,9.22
87,Klaksvik,FO,2022-04-25 17:30:31,62.2266,-6.589,41.92,83,92,17.83
88,Sturgis,US,2022-04-25 17:30:21,41.7992,-85.4192,56.07,64,100,9.22
89,Charters Towers,AU,2022-04-25 17:30:31,-20.1,146.2667,69.53,92,100,14.72
90,Aksu,CN,2022-04-25 17:21:00,41.1231,80.2644,69.19,23,41,11.1
91,Ulaangom,MN,2022-04-25 17:27:09,49.9811,92.0667,32.29,41,75,1.54
92,Coria,ES,2022-04-25 17:31:32,39.9879,-6.5377,70.45,49,60,7.25
93,Pangnirtung,CA,2022-04-25 17:31:33,66.1451,-65.7125,23.0,93,100,24.16
94,Kasempa,ZM,2022-04-25 17:31:33,-13.4584,25.8338,68.36,68,97,4.34
95,Vila Velha,BR,2022-04-25 17:31:34,-20.3297,-40.2925,84.15,68,75,13.8
96,Koslan,RU,2022-04-25 17:31:34,63.4564,48.8989,33.91,88,95,3.11
97,Esperance,AU,2022-04-25 17:31:36,-33.8667,121.9,67.84,43,100,24.7
98,San Antonio,US,2022-04-25 17:27:00,29.4241,-98.4936,71.47,88,100,13.8
99,Kavaratti,IN,2022-04-25 17:30:24,10.5669,72.642,85.15,73,34,5.55
100,Santa Maria,BR,2022-04-25 17:31:36,-29.6842,-53.8069,74.5,78,40,5.75
101,Butaritari,KI,2022-04-25 17:31:37,3.0707,172.7902,79.81,83,29,15.03
