City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Qaqortoq,GL,60.7167,-46.0333,37.69,87,66,4.43,broken clouds
159,Alzamay,RU,55.5562,98.6644,45.37,81,100,9.13,overcast clouds
160,Correntina,BR,-13.3433,-44.6367,80.6,36,66,3.53,broken clouds
161,Constantine,DZ,36.365,6.6147,54.81,71,0,2.3,clear sky
162,Kemin,KG,42.7846,75.6892,61.61,40,92,8.72,overcast clouds
163,Kuopio,FI,62.8924,27.677,37.35,65,0,4.61,clear sky
164,Nemuro,JP,43.3236,145.575,40.23,95,100,26.15,moderate rain
165,Lebu,CL,-37.6167,-73.65,52.92,88,20,15.08,few clouds
166,Margate,GB,51.3813,1.3862,53.31,73,100,1.01,overcast clouds
167,Taunggyi,MM,20.7833,97.0333,64.85,67,29,2.21,scattered clouds
168,Mount Gambier,AU,-37.8333,140.7667,57.11,100,100,10.36,overcast clouds
169,Kawalu,ID,-7.3817,108.2082,72.19,97,85,1.79,overcast clouds
170,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,75,10.36,broken clouds
171,Cape Town,ZA,-33.9258,18.4232,60.91,78,0,5.75,clear sky
172,Itapora,BR,-22.0799,-54.7874,80.01,44,62,3.6,broken clouds
173,Pangkalanbuun,ID,-2.6833,111.6167,74.59,98,38,2.68,moderate rain
174,Yacuiba,BO,-22.038,-63.6797,58.46,99,100,5.17,overcast clouds
175,Lompoc,US,34.6391,-120.4579,74.7,65,0,30.0,clear sky
176,Lesozavodsk,RU,45.4794,133.4244,41.58,85,100,5.91,overcast clouds
177,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,40,3.44,scattered clouds
178,Sinegorskiy,RU,48.0139,40.8447,46.0,54,93,8.86,overcast clouds
179,Harper,LR,4.375,-7.7169,80.74,81,57,7.54,broken clouds
180,Nandigama,IN,16.7833,80.3,83.21,82,38,10.89,scattered clouds
181,Bilma,NE,18.6853,12.9164,93.49,11,58,8.1,broken clouds
182,Chernyshevskiy,RU,63.0128,112.4714,13.64,84,8,3.11,clear sky
183,Hamilton,US,39.1834,-84.5333,76.44,31,20,19.57,few clouds
184,San Patricio,US,28.017,-97.5169,90.32,61,83,18.32,broken clouds
185,Tezu,IN,27.9167,96.1667,69.21,74,83,3.44,broken clouds
186,San Andres,CO,12.5847,-81.7006,75.22,100,75,9.22,thunderstorm with rain
187,Hovd,MN,48.0056,91.6419,52.14,21,91,7.56,overcast clouds
188,Xianshuigu,CN,38.985,117.3828,55.4,58,0,2.24,clear sky
189,Esperance,AU,-33.8667,121.9,53.44,67,0,6.44,clear sky
190,Byron Bay,AU,-28.65,153.6167,62.94,71,24,10.89,few clouds
191,Salalah,OM,17.0151,54.0924,86.09,79,40,4.61,scattered clouds
192,Lugoba,TZ,-6.45,38.3333,69.84,93,46,3.53,scattered clouds
193,Constitucion,CL,-35.3333,-72.4167,54.27,75,100,10.83,overcast clouds
194,Santa Cruz,BO,-17.8,-63.1667,84.25,58,20,17.27,few clouds
195,Alta Floresta,BR,-9.8756,-56.0861,77.25,82,36,3.24,scattered clouds
196,Sabha,LY,27.0377,14.4283,71.98,35,0,18.19,clear sky
197,Zhigansk,RU,66.7697,123.3711,13.51,91,81,16.31,broken clouds
198,Asau,RO,46.4333,26.4,49.12,95,69,1.97,broken clouds
199,Waw,SS,7.7029,27.9953,81.14,48,45,4.72,scattered clouds
200,Necochea,AR,-38.5473,-58.7368,52.32,57,99,8.52,overcast clouds
201,Jamestown,US,42.097,-79.2353,55.94,93,100,11.5,overcast clouds
202,Turukhansk,RU,65.8167,87.9833,21.92,90,75,11.74,broken clouds
203,Kutum,SD,14.2,24.6667,81.48,9,50,7.94,scattered clouds
204,Iqaluit,CA,63.7506,-68.5145,29.93,74,75,6.91,broken clouds
205,Talcahuano,CL,-36.7167,-73.1167,60.48,67,0,10.36,clear sky
206,Launceston,AU,-41.45,147.1667,57.79,94,40,10.36,scattered clouds
207,Menongue,AO,-14.6585,17.691,59.85,69,57,4.07,broken clouds
